industry,exposure_baseline,warning_level
农林牧渔业,0.46712666401014213,黄色预警
采矿业,0.5125208943995355,橙色预警
制造业,0.6847175650925181,红色预警
电力、热力、燃气及水生产和供应业,0.5801516371950981,橙色预警
建筑业,0.6347082232359608,红色预警
交通运输、仓储和邮政业,0.5359857648246004,橙色预警
信息传输、软件和信息技术服务业,0.30552326914336103,蓝色安全
批发和零售业,0.41448412652779204,黄色预警
住宿和餐饮业,0.7053722687093864,红色预警
金融业,0.2464877853992743,蓝色安全
房地产业,0.29801142930015084,蓝色安全
租赁和商务服务业,0.47578153570443577,黄色预警
科学研究和技术服务业,0.3957922605974184,黄色预警
水利、环境和公共设施管理业,0.5811363001515862,红色预警
居民服务、修理和其他服务业,0.6329928585763148,红色预警
教育业,0.3110199808341884,蓝色安全
卫生和社会工作,0.3910500687036733,黄色预警
文化、体育和娱乐业,0.49574940735891965,橙色预警
公共管理、社会保障和社会组织,0.2793208238428194,蓝色安全
