china_code,china_name,risk_pca,risk_rf,risk_ensemble
1020300,人民法院负责人,0.087966592,0.08572048,0.086815194
1020400,人民检察院负责人,0.087966592,0.08572048,0.086815194
1020500,国家行政机关及其工作机构负责人,0.087966592,0.08572048,0.086815194
1030201,工会负责人,0.204296727,0.191190884,0.197578435
1030202,中国共产主义青年团负责人,0.204296727,0.191190884,0.197578435
1030203,妇女联合会负责人,0.204296727,0.191190884,0.197578435
1030299,其他人民团体及其工作机构负责人,0.204296727,0.191190884,0.197578435
1030300,群众自治组织负责人,0,0,0
1039900,其他社会团体及其工作机构负责人,0.204296727,0.191190884,0.197578435
1040101,高等学校校长,0.302418832,0.314401901,0.308561569
1040102,中等职业教育学校校长,0.302418832,0.314401901,0.308561569
1040103,中小学校校长,0.302418832,0.314401901,0.308561569
1040199,其他教育教学单位负责人,0.302418832,0.314401901,0.308561569
1040200,卫生单位负责人,0.020914097,0.035169021,0.028221429
1040300,科研单位负责人,0.19825564,0.181258167,0.189542428
1049900,其他事业单位负责人,0.19825564,0.181258167,0.189542428
1050101,企业董事,0.089530049,0.088080814,0.088787145
1050199,其他企业负责人,0.089530049,0.088080814,0.088787145
2010100,哲学研究人员,0.176347953,0.172448452,0.174348998
2010200,经济学研究人员,0.164753239,0.147573604,0.155946648
2010300,法学研究人员,0.123917408,0.107050906,0.115271334
2010400,社会学研究人员,0.159359585,0.161068213,0.160235459
2010500,教育科学研究人员,0.228848035,0.225838827,0.227305461
2010600,文学、艺术研究人员,0.479104358,0.467689284,0.473252785
2010800,历史学研究人员,0.176347953,0.172448452,0.174348998
2010900,管理科学研究人员,0.343315124,0.335226276,0.339168634
2011000,数学研究人员,0.200228722,0.192761989,0.19640114
2011100,物理学研究人员,0.182902673,0.182607873,0.182751554
2011200,化学研究人员,0.208663394,0.204320609,0.206437204
2011300,天文学研究人员,0.285147582,0.27694653,0.280943574
2011400,地球科学研究人员,0.285147582,0.27694653,0.280943574
2011500,生物科学研究人员,0.186604776,0.18426769,0.185406743
2011600,农业科学研究人员,0.186604776,0.18426769,0.185406743
2020100,地质勘探工程技术人员,0.285147582,0.27694653,0.280943574
2020201,大地测量工程技术人员,0.285147582,0.27694653,0.280943574
2020202,工程测量工程技术人员,0.464941265,0.468577458,0.466805243
2020203,摄影测量与遥感工程技术人员,0.285147582,0.27694653,0.280943574
2020204,地图制图与印刷工程技术人员,0.464941265,0.468577458,0.466805243
2020205,海洋测绘工程技术人员,0.285147582,0.27694653,0.280943574
2020299,其他测绘工程技术人员,0.464941265,0.468577458,0.466805243
2020301,采矿工程技术人员,0.136508894,0.133998306,0.135221921
2020302,选矿与矿物加工工程技术人员,0.136508894,0.133998306,0.135221921
2020399,其他矿山工程技术人员,0.136508894,0.133998306,0.135221921
2020401,石油开采工程技术人员,0.280179904,0.265676603,0.27274525
2020402,石油储运工程技术人员,0.280179904,0.265676603,0.27274525
2020499,其他石油工程技术人员,0.280179904,0.265676603,0.27274525
2020501,冶炼工程技术人员,0.136508894,0.133998306,0.135221921
2020502,轧制工程技术人员,0.136508894,0.133998306,0.135221921
2020503,焦化工程技术人员,0.280179904,0.265676603,0.27274525
